letter_number,direction,correspondent,date,year
691,to,Mrs. Thrale,"August 8, 1780",1780
692,to,Mrs. Thrale,"August 14, 1780",1780
693,to,Mrs. Prowse,,
694,to,John Nichols,,
695,to,John Nichols,,
696,to,John Nichols,? Summer of 1780.,1780
697,to,John Nichols,To JOHN NICHOLS. Summer of 1780.,1780
698,to,John Nichols,"August 16, 1780 Vj",1780
699,to,Mrs. Thrale,"August 18, 1780",1780
700,to,Dr. Beattie,"Bolt Court, August 21, 1780",1780
701,to,James Boswell,"London, August 21, 1780",1780
702,to,Mrs. Thrale,"London, August 24, 1780",1780
703,to,Mrs. Thrale,"London, August 25, 1780",1780
704,to,A Young Clergyman,"Bolt Court, August 30, 1780",1780
705,to,Viscountess Southwell,"Bolt Court, Fleet Street, Sept. 9, 1780",1780
707,to,Samuel Hardy,,
708,to,James Boswell,"London, October 17, 1780",1780
709,to,John Nichols,"man's Magazine for 1785, page n. shall stay, I cannot tell. I do not",1785
710,to,Mrs. Thrale,"London, April 9, 1781",1781
711,to,Dr. Vyse,"Dec. 30, 1780",1780
712,to,Warren Hastings,"London, January 29, 1781",1781
713,to,William Strahan,,
714,to,Thomas Cadell,"London March 5, 1781",1781
715,to,James Boswell,"London, March 14, 1781",1781
716,to,Sir Joshua Reynolds,"London, April 4, 1781.",1781
717,to,Mrs. Thrale,"London, April 5, 1781",1781
718,to,Mrs. Thrale,"April;, 1781",1781
720,to,Dr. Vyse,"REV. SIR, Bolt Court, April 10, 1781",1781
721,to,Mrs. Thrale,"London, April n, 1781",1781
722,to,Mrs. Thrale,"London, April 12, 1781",1781
723,to,Lucy Porter,"London, April 12, 1781",1781
724,to,Mrs. Thrale,"•DEAR MADAM, April 14, 1781",1781
725,to,Mrs. Thrale,"London, April 16, 1781",1781
726,to,John Nichols,"Monday, April 16, 1781",1781
727,to,Mrs. Thrale,"April 17, 1781",1781
728,to,Mrs. Strahan,"London, April 23, 1781",1781
729,to,Mrs. Prowse,,
730,to,John Perkins,"London, June 2, 1781",1781
731,to,John Nichols,,
732,to,Bennet Langton,"Bolt Court, June 16, 1781",1781
733,to,Sir Joshua Reynolds,"London, June 23, 1781",1781
734,to,Miss Reynolds,"25th June, 1781",1781
735,to,John Perkins,,
736,to,Miss Burney,,
737,to,Thomas Astle,"London, July 17, 1781",1781
738,to,Miss Reynolds,"Bolt Court, July 21, 1781",1781
739,to,Dr. Thomas Patten,"Sept. 25, 1781",1781
740,to,Mauritius Lowe,"To MAURITIUS LOWE. Oct. 15, 1781",1781
741,to,Mrs. Thrale,"Oxford, Oct. 17, 1781",1781
742,to,Mrs. Thrale,"Lichfield, Oct. 20, 1781",1781
743,to,Mrs. Thrale,"Lichfieid, Oct. 23, 1781",1781
744,to,Mrs. Thrale,"DEAREST DEAR LADY, Lichfieid, Oct. 27, 1781",1781
745,to,Mrs. Thrale,"Lichfieid, Oct. 31, 1781",1781
746,to,Mrs. Thrale,"Lichfieid, NOV. 3, 1781",1781
747,to,Mrs. Thrale,"Ashboume, NOV. 10, 1781",1781
748,to,Mrs. Thrale,"Ashbourne, NOV. 12, 1781",1781
749,to,Mrs. Thrale,"Ashbourne, Nov. 14, 1781",1781
750,to,Mrs. Thrale,"Ashbourne, NOV. 24, 1781",1781
751,to,Edmund Allen,"Ashbourne, Nov. 26, 1781",1781
752,to,Mrs. Thrale,"Lichfield, Dec. 3, 1781",1781
753,to,Mrs. Thrale,"Birmingham, Dec. 8, 1781",1781
754,to,John Nichols,"Dr. December 26, 1781",1781
755,to,Mauritius Lowe,"dated Jan. i, 1782",1782
756,to,James Boswell,"London, January 5, 1782",1782
757,to,Dr. Lawrence,"London, January 17, 1782",1782
758,to,Mrs. Thrale,"January 28, 1782",1782
759,to,Mrs. Strahan,"London, February 4, 1782",1782
760,to,Recorder Beatniffe,"Bolt Court, Fleet Street, February 14, 1782,",1782
761,to,Mrs. Thrale,"Bolt Court, Feb. 16, 1782",1782
762,to,Mrs. Thrale,"Feb. 17, 1782",1782
763,to,Mrs. Thrale,"Bolt-court, Feb. 21, 1782",1782
764,to,Edmond Malone,"London, February 27, 1782",1782
765,to,Lucy Porter,"London, March 2, 1782",1782
766,to,Edmond Malone,"London, March 7, 1782",1782
767,to,Mrs. Thrale,"DEAREST OF ALL DEAR LADIES, March 14, 1782",1782
768,to,Lucy Porter,"Bolt Court, March 19, 1782",1782
769,to,Mrs. Aston,"London, March 19, 1782",1782
770,to,Captain Langton,"Bolt Court, March 20, 1782",1782
771,to,Edmund Hector,"London, March 21, 1782",1782
772,to,Edmund Hector,,
773,to,Dr. Taylor,"London, March 22, 1782",1782
774,to,William Gerard Hamilton,"March 22, 1782",1782
775,to,James Boswell,"London, March 28, 1782",1782
776,to,Mrs. Gastrell and Mrs. Aston,,
777,to,Miss Reynolds,"April 8, 1782",1782
779,to,Mrs. Thrale,"April 30, 1782",1782
780,to,Mrs. Thrale,,
781,to,[unknown clergyman],"London, May 15, 1782",1782
782,to,George Kearsley,"London, May 20, 1782",1782
783,to,[unknown],"May 27, 1782",1782
784,to,[unknown],,
785,to,James Boswell,"London, June 3, 1782",1782
786,to,Mrs. Thrale,"London, June 4, 1782",1782
787,to,Mrs. Prowse,,
788,to,Mrs. Thrale,"Saturday, June 8, 1782",1782
789,to,Mrs. Thrale,"Oxford, June u, 1782",1782
790,to,Mrs. Thrale,"Oxford, June 12, 1782",1782
791,to,Mrs. Thrale,"Oxford, June 13, 1782",1782
792,to,Mrs. Thrale,"Oxford, June 17, 1782",1782
793,to,Dr. Taylor,,
794,to,Miss Lawrence,"London, July 22, 1782",1782
795,to,Dr. Taylor,,
796,to,John Perkins,"London, July 28, 1782",1782
797,to,Dr. Taylor,,
798,to,Dr. Taylor,,
799,to,Dr. Taylor,,
800,to,George Strahan,,
801,to,James Boswell,"London, August 24, 1782",1782
802,to,Miss Lawrence,"London, August 26, 1782",1782
803,to,James Boswell,"London, September 7, 1782",1782
804,to,Mrs. Boswell,"London, September 7, 1782",1782
805,to,James Boswell,,
806,to,Dr. Taylor,,
807,to,Dr. Taylor,,
808,to,James Compton,"1 On Easter Eve, 1772, Johnson August 30 to say that his father had",1772
809,to,George Strahan,,
810,to,John Nichols,"came to Brighthelmston in a state man's Magazine for 1784, page 893 ;",1784
811,to,Mauritius Lowe,"oIR, October 22, 1782",1782
812,to,John Nichols,,
813,to,Sir Joshua Reynolds,"Brighthelmstone, November 14, 1782",1782
814,to,William Strahan,,
815,to,James Boswell,"London, December 7, 1782",1782
816,to,Dr. Taylor,,
817,to,William Strahan,,
818,to,Mrs. Thrale,"December 20, 1782",1782
819,to,Sir Joshua Reynolds,"Reynolds, dated Dec. 26, 1782, declining an invitation on account of",1782
820,to,Thomas Wilson,"London, December 31, 1782",1782
821,to,Dr. Taylor,,
822,to,John Nichols,"SIR) To JOHN NICHOLS 2. Jan. 10,1783",1783
823,to,Dr. Taylor,,
824,to,[unknown clergyman],,
825,to,George Strahan,"? January, 1783.",1783
826,to,Joseph Cradock,"Jan. 20, 1783",1783
827,to,Dr. Taylor,,
828,to,Miss Lawrence,"Bolt-court, February 4, 1783",1783
829,to,Sir Joshua Reynolds,,
830,to,Sir Joshua Reynolds,"March 4, 1783",1783
831,to,Dr. Scott,"page quarto, dated March 4, 1783. 'Asking him to give employment",1783
832,to,Sir Joshua Reynolds,"London, April 12, 1783",1783
833,to,James Barry,"London, April 12, 1783",1783
834,to,Joseph Fowke,"April 19, 1783",1783
835,to,Worshipful Company of the Mercers,,
836,to,Earl of Dartmouth,"MY LORD, April 25, 1783",1783
837,to,Mrs. Thrale,"London, Thursday May-day, 1783",1783
838,to,Sir Joshua Reynolds,"London, May 2, 1783",1783
839,to,Mrs. Thrale,"London, Thursday May 8, 1783",1783
840,to,Mr. and Miss Wilkes,,
841,to,William Windham,"London, May 31, 1783",1783
842,to,Sir Joshua Reynolds,"London, June 2, 1783",1783
844,to,Dr. Hamilton,"REVEREND SIR, Bolt Court, June 4, 1783",1783
845,to,Mrs. Thrale,"London, June 5, 1783",1783
846,to,Mrs. Thrale,"London, June 13, 1783",1783
847,to,Edmund Allen,"London, June 17, 1783",1783
848,to,Dr. Taylor,"London, June 17, 1783",1783
849,to,Thomas Davies,"London, June 18, 1783",1783
850,to,Mrs. Thrale,"Bolt-court, Fleet-street, June 19, 1783",1783
851,to,Mrs. Thrale,"London, June 20, 1783",1783
852,to,Mauritius Lowe,"Friday, June 20, 1783",1783
853,to,Mrs. Thrale,"London, June 21, 1783",1783
854,to,Mrs. Thrale,"London, June 23, 1783",1783
855,to,Mrs. Thrale,,
856,to,Lucy Porter,"London, June 25, 1783",1783
857,to,Mrs. Thrale,"London, June 28, 1783",1783
858,to,Mrs. Thrale,"Dune 30, 1783.",1783
859,to,Mrs. Thrale,"London, July i, 1783",1783
860,to,Mrs. Thrale,"London, July 3, 1783",1783
861,to,James Boswell,"London, July 3, 1783",1783
862,to,Lucy Porter,"London, July 5, 1783",1783
863,to,Mrs. Thrale,"London, July 5, 1783",1783
864,to,Miss Susanna Thrale,"DEAREST Miss SUSY, About July 5, 1783.",1783
865,to,Mrs. Thrale,"London, July 8, 1783",1783
867,to,William Strahan,,
868,to,Miss Williams,"Rochester, July 15, 1783. Mentioned in the last Letter",1783
869,to,Mrs. Thrale,"London, July 23, 1783",1783
870,to,Miss Sophia Thrale,"DEAREST Miss SOPHY, , London, July 24, 1783",1783
871,to,Dr. Taylor,,
