volume,direction,correspondent,date,year
2,to,George Montagu,"Strawberry-hill, May 17, 1763",1763
2,to,Hon. H. S. Conway,"Arlington-street, May 21, 1763",1763
2,to,Hon. H. S. Conway,,
2,to,George Montagu,"Huntingdon, May 30, 1763",1763
2,to,George Montagu,"Strawberry-hill, June 16, 1763",1763
2,to,George Montagu,"Strawberry-hill, July 1, 1763",1763
2,to,Rev. Mr. Cole,"Strawberry-hill, July 1, 1763",1763
2,to,Rev. Mr. Cole,"Strawberry-hill, July 12, 1763",1763
2,to,George Montagu,"Stamford, Saturday night, July 23, 1763",1763
2,to,George Montagu,,
2,to,Rev. Mr. Cole,,
2,to,Rev. Mr. Cole,"Strawberry-hill, Aug. 8, 1763",1763
2,to,Hon. H. S. CONV^^AY,"Strawberry-hill, Aug. 9, 1763",1763
2,to,George Montagu,"Strawberry-hill, August 15, 1763",1763
2,to,George Montagu,"Strawberry-hill, Sept. 3, 1763",1763
2,to,George Montagu,"Strawberry-hill, Sept. 7, 1763",1763
2,to,George Montagu,"Strawberry-hill, Oct. 3, 1763",1763
2,to,Rev. Mr. Cole,"Strawberry-hill, October 8, 1763,",1763
2,to,George Montagu,"Strawberry-hill, November 12, 1763",1763
2,to,George Montagu,"Arlington-street, Nov. 20, 1763",1763
2,to,George Montagu,"Arlington-street, Jan. 11,1764",1764
2,to,Rev. Mr. Cole,"Arlington-street, Jan. 31, 1764<",1764
2,to,Rev. Mr. Cole,,
2,to,Rev. Mr. Cole,"Arlington-street, April 12, 1764",1764
2,to,Hon. H. S. Conway,"Arlington-street, April 19, 1764",1764
2,to,Hon. H. S. Conway,"April 21, 1764",1764
2,to,Hon. H. S. Conway,"Ai'lington- street, April S-i, 1764",1764
2,to,George Montagu,"Arlington-street, May 10, 1764'",1764
2,to,Hon. H. S. Conway,"Arlington-street, June .5, 1764",1764
2,to,George Montagu,"Strawberry-hill, June 18, 1764-",1764
2,to,George Montagu,"Strawberry-hill, July 16, 1764",1764
2,to,Rev. Mr. Cole,"Strawberry-hill, July 16, 1764",1764
2,to,Rev. Mr. Cole,"Arlington-street, July 21, 1764",1764
2,to,George Montagu,"Arlington-street, Aug. 16, 1764",1764
2,to,Rev. Mr. Cole,"Strawberry-hill, August 29, 1764",1764
2,to,Hon. H. S. Conway,"September 1, 1764",1764
2,to,Rev. Dr. Birch,"September 3, 1764",1764
2,to,Rev. Mr. Cole,"Strawberry-hill, September 25, 1764<",1764
3,to,Hon. H. S. Conway,"Strawberry-hill, October 13, 1764,",1764
3,to,Rev. Mr. Cole,"Strawberry-hill, October 27, 1764",1764
3,to,Hon. H. S. Conway,"Strawberry-hill, October 29, 1764-",1764
3,to,Rev. Mr. Cole,,
3,to,Rev. Mr. Cole,"Strawberry-hill, Nov. 8, 1764",1764
3,to,Lady Hervey,,
3,to,George Montagu,"Arlington-street, Dec. 16, 1764'",1764
3,to,George Montagu,"Christmas-eve, 1764?",1764
3,to,George Montagu,"Arlington-street, Feb. 19, 1765",1765
3,to,Rev. Mr. Cole,"Strawberry-hill, Feb. 28, 1765",1765
3,to,Rev. Mr. Cole,"Strawberry-hill, March 9, 1765",1765
3,to,George Montagu,"Arlington-street, April 5, 1765,",1765
3,to,George Montagu,"Strawberry -hill, May 26, 1765",1765
3,to,George Montagu,"Strawberry-hill, June lO, 1765",1765
3,to,George Montagu,,
3,to,Hon. H. S. Conway,"Wednesday noon, July 3, 1 765",1765
3,to,George Montagu,"Arlington-street, July 11, 1765",1765
3,to,George Montagu,"Strawberry-hill, July 28, 1765",1765
3,to,George Montagu,"Strawberry-hill, August 23, 1765",1765
3,to,George Montagu,"Saturday, Aug. 31, 1765, Strawberry-hill",1765
3,to,Earl of Strafford,"Arlington-street, September 3, 1765",1765
3,to,Lady Hervey,"Arlington-street, September 3, 1765",1765
3,to,Rev. Mr. Cole,"Strawberry -hill, Sept. 5, 1765",1765
3,to,Hon. H. S. Conway,"Amiens, Wednesday, Sept. 11, 1765",1765
3,to,Lady Hervey,"Paris, September 1 4, 1 765",1765
3,to,Rev. Mr. Cole,"?aris, Wednesday, Sept. 18, 1765,",1765
3,to,George Montagu,"Paris, Sept. 22, 1765",1765
3,to,Lady Hervey,"Paris, Oct. 3, 1765",1765
3,to,John Chute,"Paris, Oct. 3, 1765",1765
3,to,Hon. H. S. Conway,"Paris, Oct. 6, 1765",1765
3,to,Lady Hervey,,
3,to,George Montagu,"Paris, Oct. 16, 1765",1765
3,to,"THOMAS BRAND, Esq",,
3,to,Hon. H. S. Conway,"Paris, Oct. 28, 1765",1765
3,to,Lady Hervey,"Paris, Nov. 21, 1765",1765
3,to,George Montagu,"Paris, Nov. 21, 1765",1765
3,to,Lady Hervey,"Paris, Nov. 28, 1765",1765
3,to,Hon. H. S. Conway,"Paris, Nov. 29, 1765",1765
3,to,Hon. H. S. Conway,"Paris, December 5, 1765",1765
3,to,Lady Hervey,"Paris, January 2, 1766",1766
3,to,John Chute,"Paris, Jan. 1766",1766
3,to,George Montagu,"Paris, January 5"", 1766",1766
3,to,Lady Hervey,,
3,to,Hon. H. S. Conway,"Paris, January 12, 1766",1766
3,to,Rev. Mr. Cole,"Paris, Jan. 18, 1766",1766
3,to,Lady Hervey,"Paris, Feb. 3, 1766",1766
3,to,George Montagu,"Paris, Feb. 4, 1766",1766
3,to,George Montagu,,
3,to,Rev. Mr. Cole,"Paris, Feb. 28, 1766",1766
