person_a,person_b,weight,year_min,year_max,sources
Charles Burney,Frances Burney,401,1764,1815,hemlow_catalogue
Charles Burney,Frances Greville,2,1767,1767,hemlow_catalogue
Charles Burney,Frances Phillips Burney,2,1807,1807,hemlow_catalogue
Charles Burney,Francesco Roncaglia,3,1778,1778,hemlow_catalogue
Charles Burney,Frederica Locke,1,,,hemlow_catalogue
Charles Burney,Frederick the Great,1,1772,1772,tour_contact
Charles Burney,Friedrich Klopstock,1,1772,1772,tour_contact
Charles Burney,Friedrich Wilhelm Marpurg,1,1772,1772,tour_contact
Charles Burney,Fulke Greville,9,1748,1806,"hemlow_catalogue|lonsdale_lynn,waterfield_thesis"
Charles Burney,Gabrieli Pozzi,1,1777,1777,hemlow_catalogue
Charles Burney,Gaetano Caffarelli,1,1770,1770,tour_contact
Charles Burney,Gaetano Ferdinando Tenducci,1,1776,1776,hemlow_catalogue
Charles Burney,Gasparo Pacchierotti,2,1792,1792,hemlow_catalogue
Charles Burney,George Colman,2,1797,1797,hemlow_catalogue
Charles Burney,George Owen Cambridge,1,1836,1836,hemlow_catalogue
Charles Burney,George Robinson,1,1773,1773,hemlow_catalogue
Charles Burney,George Steevens,1,,,hemlow_catalogue
Charles Burney,George Symme Calcott,1,1790,1790,hemlow_catalogue
Charles Burney,Georgiana Waddington,2,,,hemlow_catalogue
Charles Burney,Giambattista Mancini,1,1776,1776,hemlow_catalogue
Charles Burney,Giovanni Battista Sammartini,1,1770,1770,tour_contact
Charles Burney,Giovanni Paisiello,1,1770,1770,tour_contact
Charles Burney,Granville Greville,1,1802,1802,hemlow_catalogue
Charles Burney,Henry Harington,1,1773,1773,hemlow_catalogue
Charles Burney,Hester Burney,1,,,hemlow_catalogue
Charles Burney,Hester Thrale Piozzi,40,1750,1782,hemlow_catalogue
Charles Burney,Horace Walpole,7,1774,1791,hemlow_catalogue
Charles Burney,J Moursson,1,1772,1772,hemlow_catalogue
Charles Burney,Jacques-Pierre Brissot,4,1783,1783,fonds_brissot
Charles Burney,James Boswell,2,,,hemlow_catalogue
Charles Burney,James Bradley,1,,,hemlow_catalogue
Charles Burney,James Harris,2,1775,1778,hemlow_catalogue
Charles Burney,James Hutton,3,1788,1788,hemlow_catalogue
Charles Burney,Jean-Baptiste Cléry,1,,,hemlow_catalogue
Charles Burney,Jean-Baptiste-Antoine Suard,4,1771,1777,hemlow_catalogue
Charles Burney,Johann Adolph Hasse,1,1773,1773,hemlow_catalogue
Charles Burney,Johann Christian Bach,2,1762,1782,hemlow_catalogue
Charles Burney,Johann Christian Hittner,5,1807,1807,hemlow_catalogue
Charles Burney,John Alcock,1,1771,1771,hemlow_catalogue
Charles Burney,John Bellour,2,,,hemlow_catalogue
Charles Burney,John Caramali,1,1807,1807,hemlow_catalogue
Charles Burney,John Graham,1,1835,1835,hemlow_catalogue
Charles Burney,John Hawkesworth,1,1769,1769,hemlow_catalogue
Charles Burney,John Horne Tooke,1,1791,1791,hemlow_catalogue
Charles Burney,John Osborn,1,1773,1773,hemlow_catalogue
Charles Burney,John Phillips,1,,,hemlow_catalogue
Charles Burney,John Wall Callcott,8,,,hemlow_catalogue
Charles Burney,Joseph Banks,4,,,hemlow_catalogue
Charles Burney,Joseph Cooper Walker,8,1793,1793,hemlow_catalogue
Charles Burney,Joseph Haydn,1,1791,1791,hemlow_catalogue
Charles Burney,Joseph Plymley,1,,,hemlow_catalogue
Charles Burney,Joseph Warton,1,1772,1772,hemlow_catalogue
Charles Burney,Joshua Reynolds,2,1791,1791,hemlow_catalogue
Charles Burney,Keane FitzGerald,1,1767,1767,hemlow_catalogue
Charles Burney,Lady Banks,1,1791,1791,hemlow_catalogue
Charles Burney,Lady Bruce,2,1806,1807,hemlow_catalogue
Charles Burney,Lady Burroughes,1,,,hemlow_catalogue
Charles Burney,Lady Clifford,1,1764,1764,lonsdale_lynn
Charles Burney,Lady Manvers,1,1806,1806,hemlow_catalogue
Charles Burney,Lady Mary Lowther,4,1807,1807,hemlow_catalogue
Charles Burney,Leonard Smelt,2,1774,1774,hemlow_catalogue
Charles Burney,Leopold Mozart,1,1770,1770,tour_contact
Charles Burney,Lord Cardigan,1,1806,1806,hemlow_catalogue
Charles Burney,Lord Charles Bruce,3,1807,1807,hemlow_catalogue
Charles Burney,Lord Charles Herne,1,1798,1798,hemlow_catalogue
Charles Burney,Lord Lonsdale,2,,,hemlow_catalogue
Charles Burney,Louis Devisme,2,1772,1772,hemlow_catalogue
Charles Burney,"Louis-Marie-Joseph d'Albert d'Ailly, duc de Chaulnes",2,1794,1794,hemlow_catalogue
Charles Burney,Lucrezia Aguiari,2,1775,1776,hemlow_catalogue
Charles Burney,Luigi Maria Marchetti,1,1781,1781,hemlow_catalogue
Charles Burney,Madame Saintmard,1,1764,1764,lonsdale_lynn
Charles Burney,Marie Park,1,,,hemlow_catalogue
Charles Burney,Marquis Townshend,1,1773,1773,hemlow_catalogue
Charles Burney,Mary (Palmer) Marchioness of Thomond,1,1807,1807,hemlow_catalogue
Charles Burney,Miss Drysdale,2,,,hemlow_catalogue
Charles Burney,Monsieur North,1,1771,1771,hemlow_catalogue
Charles Burney,Mr Baker,1,1777,1777,hemlow_catalogue
Charles Burney,Mr Crewe,1,1773,1773,hemlow_catalogue
Charles Burney,Mr Drummond,1,1770,1780,waterfield_thesis
Charles Burney,Mrs Crewe,26,1793,1807,hemlow_catalogue
Charles Burney,Mrs Greville,1,1758,1760,lonsdale_lynn
Charles Burney,Mrs Rap,1,1776,1776,hemlow_catalogue
Charles Burney,Niccolo Piccinni,1,1770,1770,tour_contact
Charles Burney,Nicola Jommelli,1,1770,1770,tour_contact
Charles Burney,Padre Gioacchino,1,1774,1774,hemlow_catalogue
Charles Burney,Padre Martini,11,1770,1780,hemlow_catalogue
Charles Burney,"Parish of St Margaret's, Lynn",1,1755,1755,hemlow_catalogue
Charles Burney,Paul Panton,1,1779,1779,hemlow_catalogue
Charles Burney,Philip Hayes,1,1779,1779,hemlow_catalogue
Charles Burney,Pietro Metastasio,2,1772,1772,tour_contact
Charles Burney,Pietro Nardini,1,1770,1770,tour_contact
Charles Burney,Princess Charlotte,1,,,hemlow_catalogue
Charles Burney,Ralph Griffiths,5,1777,1796,hemlow_catalogue
Charles Burney,Regina Mingotti,2,1771,1774,hemlow_catalogue
Charles Burney,Richard Cox,6,,,hemlow_catalogue
Charles Burney,Richard Thomas Burney,2,1785,1808,known_connection
Charles Burney,Richard Wroughton,1,,,hemlow_catalogue
Charles Burney,"Robert Darcy, 4th Earl of Holdernesse",1,1776,1776,hemlow_catalogue
Charles Burney,Robert Hudson,1,1768,1770,waterfield_thesis
