person_a,person_b,weight,year_min,year_max,sources
Frances Burney,Richard Thomas Burney,1,1768,1768,hemlow_catalogue
Frances Burney,Richard Thomas Burney,1,1801,1801,known_connection
Frances Burney,Richard Thomas Burney pmk,1,1768,1768,hemlow_catalogue
Frances Burney,Richard Twining,2,,,hemlow_catalogue
Frances Burney,Robert Allen Burney,1,,,hemlow_catalogue
Frances Burney,Robert Burnside,1,1779,1779,hemlow_catalogue
Frances Burney,Robert Greville,1,1787,1787,burney_journal_articles
Frances Burney,Robert Southey,1,,,hemlow_catalogue
Frances Burney,Rose FitzGerald Baroness,1,1793,1793,hemlow_catalogue
Frances Burney,Rosette Burney,21,1782,1800,hemlow_catalogue
Frances Burney,SEB {& CAB},2,,,hemlow_catalogue
Frances Burney,Samuel Crisp,181,1773,1782,hemlow_catalogue
Frances Burney,Samuel Johnson,7,1779,1784,hemlow_catalogue
Frances Burney,Sarah (Kirby) Trimmer,1,,,hemlow_catalogue
Frances Burney,Sarah Baker,6,1818,1827,hemlow_catalogue
Frances Burney,Sarah Harriet Burney,27,1796,1839,hemlow_catalogue
Frances Burney,Sarah Holroyd,26,1815,1818,hemlow_catalogue
Frances Burney,Sarah Payne,12,1825,1839,hemlow_catalogue
Frances Burney,Sarah Payne Burney,5,1813,1821,hemlow_catalogue
Frances Burney,Sir John Herschel,1,1821,1821,hemlow_catalogue
Frances Burney,Sir William Burrell,1,1822,1822,hemlow_catalogue
Frances Burney,Sophia Burney,1,1815,1815,hemlow_catalogue
Frances Burney,Sophia Byron,1,1784,1784,hemlow_catalogue
Frances Burney,Sophia Gast,4,1784,1784,hemlow_catalogue
Frances Burney,Sophia Hoare,7,1812,1823,hemlow_catalogue
Frances Burney,Sophia Streatfield,9,1779,1788,hemlow_catalogue
Frances Burney,Sophia Upton,1,1823,1823,hemlow_catalogue
Frances Burney,Sophie,1,,,hemlow_catalogue
Frances Burney,Stephanie-Felicite comtesse de Genlis,1,1785,1785,hemlow_catalogue
Frances Burney,Stephen,1,1787,1787,hemlow_catalogue
Frances Burney,Stephen Allen,3,1833,1833,hemlow_catalogue
Frances Burney,Stephen Digby,2,1786,1791,burney_journal_articles
Frances Burney,Stephen Digby,1,1788,1788,hemlow_catalogue
Frances Burney,Susan Adams,1,1807,1807,hemlow_catalogue
Frances Burney,Susanna Burney Phillips,1160,1705,1877,hemlow_catalogue
Frances Burney,Susannah Dobson,2,1784,1784,hemlow_catalogue
Frances Burney,Suzanne Simmond,2,1793,1793,hemlow_catalogue
Frances Burney,Thomas,2,1832,1832,hemlow_catalogue
Frances Burney,Thomas Barlow,4,1775,1775,hemlow_catalogue
Frances Burney,Thomas Faulkner,2,,,hemlow_catalogue
Frances Burney,Thomas King,2,,,hemlow_catalogue
Frances Burney,Thomas Lowndes,39,1777,1779,hemlow_catalogue
Frances Burney,Victor de Latour Maubourg,12,,,hemlow_catalogue
Frances Burney,Victor de Latour-Maubourg,1,,,hemlow_catalogue
Frances Burney,Viscountess Keith,21,1816,1826,hemlow_catalogue
Frances Burney,Warren Hastings,2,1786,1796,burney_journal_articles
Frances Burney,William,1,,,hemlow_catalogue
Frances Burney,William Clarke,1,,,hemlow_catalogue
Frances Burney,William Cutler,3,1777,1777,hemlow_catalogue
Frances Burney,William Laine,1,,,hemlow_catalogue
Frances Burney,William Locke,8,1785,1822,hemlow_catalogue
Frances Burney,William Lowndes,2,1813,1813,hemlow_catalogue
Frances Burney,William Seward,6,1779,1790,hemlow_catalogue
Frances Burney,William Tudor,3,,,hemlow_catalogue
Frances Burney,William Watts,2,,,hemlow_catalogue
Frances Burney,William Wilberforce,6,1813,1816,"hemlow_catalogue,waterfield_thesis"
Frances Burney,William Windham,5,1788,1792,burney_journal_articles
Frances Burney,Zilcah Elizabeth Lacey,1,,,hemlow_catalogue
Frances Burney,baron d'Artel,2,,,hemlow_catalogue
Frances Burney,de Gault de Malaville,1,,,hemlow_catalogue
Frances Burney,with AA to,2,1812,1812,hemlow_catalogue
Frances Reynolds,Samuel Johnson,18,1762,1784,johnson_hill
Francis Barber,Samuel Johnson,4,1768,1783,johnson_hill
Francis Fowke,Samuel Johnson,1,1776,1776,johnson_hill
Francois Sastres,Samuel Johnson,5,1784,1784,johnson_hill
Frederica Locke,Germaine de Stael,1,1793,1793,known_connection
Frederica Locke,Louis de Narbonne,1,1793,1793,known_connection
Frederica Locke,Marquis de Lally-Tollendal,1,1793,1793,known_connection
Friedrich Schlegel,Germaine de Stael,11,1804,1805,correspsearch
"Ganghofer, Ludwig","Schnitzler, Arthur",2,1899,1899,correspsearch
"Ganghofer, Ludwig","Wedekind, Frank",1,,,correspsearch
General Conway,Horace Walpole,25,1771,1783,walpole_last_journals
General Conway,Mary Berry,10,1789,1795,berry_lewis
Georg Friedrich Händel,Georg Philipp Telemann,2,1750,1754,correspsearch
George Faulkner,Samuel Johnson,1,1775,1775,johnson_hill
George Grenville,Samuel Johnson,1,,,johnson_hill
George Hardinge,Horace Walpole,2,1782,1782,walpole_1820
George Kearsley,Samuel Johnson,1,1782,1782,johnson_hill
George Montagu,Horace Walpole,252,1736,1770,walpole_1820
George Nicol,Samuel Johnson,1,1784,1784,johnson_hill
George Steevens,Samuel Johnson,4,1774,1777,johnson_hill
George Strahan,Samuel Johnson,8,1763,1784,johnson_hill
Germaine de Stael,Johann Wolfgang von Goethe,32,1800,1811,correspsearch
Germaine de Stael,Louis de Narbonne,1,1788,1794,known_connection
Germaine de Stael,Marquis de Lafayette,1,1789,1793,known_connection
Germaine de Stael,Marquis de Lally-Tollendal,1,1793,1793,known_connection
Germaine de Stael,Princesse d'Hénin,1,1793,1817,known_connection
Gregory Hickman,Samuel Johnson,1,1731,1731,johnson_hill
Guardians/executors,Hester Thrale Piozzi,1,,,piozzi
"Haller, Albrecht von","Lambert, Johann Heinrich",6,1758,1760,correspsearch
Hannah More,Horace Walpole,1,1773,1797,known_connection
Hannah More,Samuel Johnson,1,1774,1784,known_connection
Hannah More,William Wilberforce,1,1787,1833,known_connection
Heely,Samuel Johnson,1,1784,1784,johnson_hill
Henry Bright,Samuel Johnson,1,1770,1770,johnson_hill
Henry Dundas,Richard Burke Jr,4,1791,1792,burke_1844
Henry Grattan,Richard Burke Jr,1,1793,1793,burke_1844
Henry Seymour Conway,Horace Walpole,141,1740,1795,walpole_1820
Henry Thrale,Hester Thrale Piozzi,4,1773,1779,piozzi
Henry Thrale,Samuel Johnson,13,1769,1780,johnson_hill
Hester Chapone,Samuel Johnson,1,1783,1783,johnson_hill
Hester Thrale Piozzi,John Salusbury,1,1793,1793,piozzi
Hester Thrale Piozzi,Miss Willoughby,1,1821,1821,piozzi
Hester Thrale Piozzi,Mr. Cadell,2,1785,1789,piozzi
Hester Thrale Piozzi,Mr. Lysons,1,1784,1784,piozzi
Hester Thrale Piozzi,Mr. Perkins,1,1773,1773,piozzi
Hester Thrale Piozzi,Penelope Pennington,164,1789,1821,piozzi
Hester Thrale Piozzi,Samuel Johnson,335,1765,1784,"johnson_hill|piozzi,known_connection"
Hester Thrale Piozzi,Samuel Lysons,5,1784,1809,piozzi_thraliana
Hester Thrale Piozzi,William Weller Pepys,5,1776,1789,piozzi_thraliana
"Hofmannsthal, Hugo von","Schnitzler, Arthur",20,1891,1892,correspsearch_european
Hollyer,Samuel Johnson,1,,,johnson_hill
Horace Walpole,John Chute,11,1754,1771,walpole_1820
Horace Walpole,Lady Hervey,19,1757,1766,walpole_1820
Horace Walpole,Lady Ossory,10,1771,1783,walpole_last_journals
Horace Walpole,Mary Berry,200,1788,1797,berry_lewis
Horace Walpole,Mary Delany,2,1786,1786,correspsearch
Horace Walpole,Mary Delany,3,1768,1788,"correspsearch,known_connection"
Horace Walpole,Mary Hamilton,21,1783,1795,correspsearch
Horace Walpole,Mr Mason,2,,,walpole_1820
Horace Walpole,Rev. Dr. Birch,4,1745,1764,walpole_1820
Horace Walpole,Rev. Mr. Beloe,1,1794,1794,walpole_1820
Horace Walpole,Rev. Mr. Lort,1,1779,1779,walpole_1820
Horace Walpole,Richard Bentley,33,1735,1755,walpole_1820
Horace Walpole,Richard West,20,1710,1742,walpole_1820
Horace Walpole,Sir Horace Mann,15,1771,1783,walpole_last_journals
Horace Walpole,Thomas Barrett,1,1792,1792,walpole_1820
Horace Walpole,Thomas Brand,1,,,walpole_1820
Horace Walpole,Thomas Gray,139,1734,1771,correspsearch
Horace Walpole,William Cole,161,1730,1782,walpole_1820
Horace Walpole,William Wentworth,51,1756,1790,walpole_1820
James Barry,Messrs. Burke,1,1767,1767,burke_1844
James Barry,Samuel Johnson,1,1783,1783,johnson_hill
James Barry,William Burke,1,1765,1765,burke_1844
James Boswell,Samuel Johnson,94,1763,1784,"johnson_hill,known_connection"
James Burney,Molesworth Phillips,1,1780,1800,waterfield_thesis
James Compton,Samuel Johnson,1,1772,1772,johnson_hill
James Elphinston,Samuel Johnson,4,1750,1750,johnson_hill
James Granger,Samuel Johnson,1,1772,1772,johnson_hill
Jane Ross Burney,Richard Thomas Burney,1,1790,1808,known_connection
Johann Christian Bach,Padre Martini,66,1757,1782,correspsearch_european
John Douglas,Samuel Johnson,1,,,johnson_hill
John Hoole,Samuel Johnson,4,1774,1784,johnson_hill
John Hussey,Samuel Johnson,1,1778,1778,johnson_hill
John Levett,Samuel Johnson,3,1743,1743,johnson_hill
John Newbery,Samuel Johnson,3,1751,1751,johnson_hill
John Nichols,Samuel Johnson,30,1778,1785,johnson_hill
John Paradise,Samuel Johnson,1,1784,1784,johnson_hill
John Perkins,Samuel Johnson,6,1774,1784,johnson_hill
John Rivington,Samuel Johnson,1,,,johnson_hill
John Ryland,Samuel Johnson,8,1756,1756,johnson_hill
John Taylor,Samuel Johnson,63,1752,1784,johnson_hill
John Vaughan,Joseph Priestley,1,,,priestley
John Wesley,Samuel Johnson,2,1776,1779,johnson_hill
John Wilkes,Samuel Johnson,1,,,johnson_hill
Joseph Banks,Joseph Priestley,2,,,priestley
Joseph Banks,Samuel Johnson,1,1772,1772,johnson_hill
Joseph Baretti,Samuel Johnson,3,1761,1762,johnson_hill
Joseph Bullock,Richard Burke Sr,1,1774,1774,burke_1844
Joseph Cradock,Samuel Johnson,1,1783,1783,johnson_hill
Joseph Fowke,Samuel Johnson,1,1783,1783,johnson_hill
Joseph Johnson,Joseph Priestley,1,,,priestley
Joseph Priestley,Josi Ml Wl DGWOOD,1,,,priestley
Joseph Priestley,Josiah Wedgwood,17,1781,1781,priestley
Joseph Priestley,Matthew Boulton,1,,,priestley
Joseph Priestley,"Me. Wedowood, near Neweastle-under-Lyne.6",1,1771,1771,priestley
Joseph Priestley,"Mr. Conyers Button, of Philadelphia, 1 am indebted for",1,,,priestley
Joseph Priestley,"Mr. George F. Kunz, of Xew York, I give thanks for a",1,,,priestley
Joseph Priestley,Mr. Lee,1,,,priestley
Joseph Priestley,"Mr. W M. Vaughan of Cambridge, Mass., I am in-",1,,,priestley
Joseph Priestley,"Mrs, Ce i",1,,,priestley
Joseph Priestley,Mrs. Crouch,1,,,priestley
Joseph Priestley,Mrs. Croui b,1,,,priestley
Joseph Priestley,Sir Joseph Ban ks,1,,,priestley
Joseph Priestley,Thomas Wedgwood,5,1771,1771,priestley
Joseph Priestley,"William O. Priestley, M D., LL.D., of London, I am",1,,,priestley
Joseph Priestley,Wm. Vaughan,1,,,priestley
Joseph Priestley,"ilr. Robert A. Wainewright of London, Dr. Priestley's",1,,,priestley
Joseph Simpson,Samuel Johnson,1,1759,1759,johnson_hill
Joseph Warton,Samuel Johnson,7,1753,1780,johnson_hill
Joshua Reynolds,Samuel Johnson,25,1756,1784,"johnson_hill,known_connection"
"Kant, Immanuel","Lambert, Johann Heinrich",7,1765,1770,correspsearch
"Kirkgate, Thomas",Mary Hamilton,2,1792,1792,correspsearch
Lady Ailesbury,Mary Berry,15,1789,1803,berry_lewis
Lady Clifford,Madame Saintmard,1,1764,1764,lonsdale_lynn
Laird of Rasay,Samuel Johnson,1,1775,1775,johnson_hill
Leopold Mozart,Padre Martini,6,1770,1778,correspsearch_european
Lewis Paul,Samuel Johnson,12,1740,1763,johnson_hill
Lord Chancellor Thurlow,Samuel Johnson,1,1784,1784,johnson_hill
Lord Elibank,Samuel Johnson,1,1773,1773,johnson_hill
Lord Grenville,Richard Burke Jr,1,1792,1792,burke_1844
Lord Ossory,Sir Robert Staples,1,1792,1792,burke_1844
Lord Westcote,Samuel Johnson,2,1780,1780,johnson_hill
Louis de Narbonne,Marquis de Lafayette,1,1789,1792,known_connection
Louis de Narbonne,Princesse d'Hénin,1,1790,1812,known_connection
Lucy Porter,Samuel Johnson,35,1749,1784,johnson_hill
Ludwig Prandtl,Rudolf Mehmke,32,,,correspsearch
Madame de Stael,Mary Berry,8,1784,1813,berry_lewis
Madame de Tessé,Marquis de Lafayette,2,1789,1814,known_connection
Marquis de Lafayette,Marquis de Lally-Tollendal,1,1789,1792,known_connection
Marquis de Lally-Tollendal,Princesse d'Hénin,2,1793,1827,known_connection
Marquis of Buckingham,Rt. Hon. Wm. Pitt,2,1796,1796,burke_1844
Marquis of Rockingham,the King,1,1782,1782,burke_1844
"Martini, Giovanni Battista, Padre",Wolfgang Amadeus Mozart,2,1776,1776,correspsearch_european
Mary Berry,Mrs Damer,40,1788,1852,berry_lewis
Mauritius Lowe,Samuel Johnson,5,1778,1783,johnson_hill
Miss Boothby,Samuel Johnson,4,1755,1759,johnson_hill
Miss Burney,Samuel Johnson,3,,,johnson_hill
Miss Carter,Samuel Johnson,1,,,johnson_hill
Miss Flint,Samuel Johnson,1,1769,1769,johnson_hill
Miss Jane Langton,Samuel Johnson,1,1784,1784,johnson_hill
Miss Langton,Samuel Johnson,1,1771,1771,johnson_hill
Miss Lawrence,Samuel Johnson,3,1782,1783,johnson_hill
Miss Wilkes,Samuel Johnson,1,,,johnson_hill
Miss Williams,Samuel Johnson,1,1783,1783,johnson_hill
Molesworth Phillips,Susanna Burney Phillips,1,1782,1800,waterfield_thesis
Mr. B-,Samuel Johnson,1,1773,1773,johnson_hill
Mr. Tomkeson,Samuel Johnson,1,1783,1783,johnson_hill
Mr. Urban,Samuel Johnson,1,1744,1744,johnson_hill
Mr. White,Samuel Johnson,1,1773,1773,johnson_hill
Mrs. Aston,Samuel Johnson,13,1769,1784,johnson_hill
Mrs. Boswell,Samuel Johnson,3,1776,1782,johnson_hill
Mrs. Burke,Richard Burke Sr,1,1783,1783,burke_1844
Mrs. Desmoulins,Samuel Johnson,1,1775,1775,johnson_hill
Mrs. Garrick,Samuel Johnson,1,1779,1779,johnson_hill
Mrs. Gastrell,Samuel Johnson,3,1775,1784,johnson_hill
Mrs. Johnson,Samuel Johnson,5,1739,1739,johnson_hill
Mrs. Montagu,Samuel Johnson,8,1774,1783,johnson_hill
Mrs. Prowse,Samuel Johnson,3,,,johnson_hill
Mrs. Rogers,Samuel Johnson,1,,,johnson_hill
Mrs. Salusbury,Samuel Johnson,1,1767,1767,johnson_hill
Mrs. Strahan,Samuel Johnson,3,1781,1782,johnson_hill
Oliver Goldsmith,Samuel Johnson,2,1761,1774,"johnson_hill,known_connection"
Ozias Humphry,Samuel Johnson,3,1784,1784,johnson_hill
Padre Martini,Wolfgang Amadeus Mozart,6,1770,1778,correspsearch_european
Philip Francis,Richard Burke Jr,1,1790,1790,burke_1844
Philip Francis,William Burke,3,1777,1778,burke_1844
Printer of the General Advertiser,Samuel Johnson,1,1750,1750,johnson_hill
Ralph Broome,Warren Hastings,1,1788,1795,known_connection
Recorder Beatniffe,Samuel Johnson,1,1782,1782,johnson_hill
Rev. Dr. Birch,Samuel Johnson,10,1743,1756,johnson_hill
Rev. Dr. Hussey,T. Hussey,1,1790,1790,burke_1844
Rev. Dr. Leland,Samuel Johnson,2,1775,1775,johnson_hill
Rev. Dr. Markham,William Burke,1,1765,1765,burke_1844
Richard Brocklesby,Samuel Johnson,17,1783,1784,johnson_hill
Richard Burke Jr,William Burke,1,1792,1792,burke_1844
Richard Burke Jr,Wm. Smith,2,1792,1792,burke_1844
Richard Burke Sr,Richard Champion,3,1777,1781,burke_1844
Richard Burke Sr,William Burke,1,1773,1773,burke_1844
Richard Clark,Samuel Johnson,1,1784,1784,johnson_hill
Richard Green,Samuel Johnson,2,1775,1784,johnson_hill
Richard Jackson,Samuel Johnson,1,,,johnson_hill
Robert Chambers,Samuel Johnson,1,1754,1754,johnson_hill
Robert Levett,Samuel Johnson,4,1774,1776,johnson_hill
Samuel Hardy,Samuel Johnson,1,,,johnson_hill
Samuel Johnson,Samuel Richardson,4,1750,1756,johnson_hill
Samuel Johnson,Saunders Welch,1,1778,1778,johnson_hill
Samuel Johnson,Sir John Hawkins,4,1784,1784,johnson_hill
Samuel Johnson,Sophia Hoare,1,1783,1783,johnson_hill
Samuel Johnson,Susanna Arabella Thrale,5,1783,1784,johnson_hill
Samuel Johnson,Thomas Astle,1,1781,1781,johnson_hill
Samuel Johnson,Thomas Cadell,5,1778,1781,johnson_hill
Samuel Johnson,Thomas Davies,2,1783,1784,johnson_hill
Samuel Johnson,Thomas Fitzmaurice,1,1785,1785,johnson_hill
Samuel Johnson,Thomas Percy,4,,,johnson_hill
Samuel Johnson,Thomas Warton,19,1754,1780,johnson_hill
Samuel Johnson,Thomas Wilson,1,1782,1782,johnson_hill
Samuel Johnson,Vice-Chancellor of Oxford,1,1755,1755,johnson_hill
Samuel Johnson,Viscountess Southwell,1,1780,1780,johnson_hill
Samuel Johnson,W S. Johnson,1,,,johnson_hill
Samuel Johnson,W. Bagshaw,2,1773,1784,johnson_hill
Samuel Johnson,W. Sharp,1,1777,1777,johnson_hill
Samuel Johnson,Warren Hastings,3,1774,1781,johnson_hill
Samuel Johnson,William Cumberland Cruikshank,2,1783,1784,johnson_hill
Samuel Johnson,William Drummond,3,1766,1767,johnson_hill
Samuel Johnson,William Gerard Hamilton,3,1782,1784,johnson_hill
Samuel Johnson,William Strahan,17,1754,1778,johnson_hill
Samuel Johnson,William Windham,3,1783,1784,johnson_hill
Samuel Johnson,Worshipful Company of the Mercers,1,,,johnson_hill
Sir George Macartney,William Burke,1,1766,1766,burke_1844
Thomas Gray,"West, Richard, 1716-1742",3,1739,1740,correspsearch
Tysoe Saul Hancock,Warren Hastings,3,1759,1775,known_connection
Walker King,William Burke,1,1782,1782,burke_1844
Henry Burney,Janet Bannerman,5,1818,1845,known_connection
Henry Burney,King Rama III,2,1825,1826,known_connection
Henry Burney,Richard Thomas Burney Jr,1,1835,1845,known_connection
James Burney,Joseph Banks,2,1774,1809,known_connection
James Burney,Omai,2,1773,1776,known_connection
James Burney,Charles Lamb,5,1800,1821,known_connection
